Block Name,Fingerprint Hash,Total Occurrences,File Count,Files,Status
101004002427___挡水门体,-1869614496026768876,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
A$C16E95786,-6595669540621886464,1,1,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf,Normalized
A$C35E44CBE,3280839202156714358,1,1,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf,Normalized
A$C39B1121E,9060893641952680993,1,1,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf,Normalized
101004002260____底板,7202548747263855619,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002290-1____环-1,2320402399186390386,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002290-2____环-2,-3057452786293370571,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002290-3____环-3,-8905690107936898800,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002261____立板,4233184137528096887,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002266____弯板,6477550812111987335,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002445____环,373647621045823179,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002395____上弯板,-8688258593078617967,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002277____上弯板,7201020670941212590,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002276____下弯板,7234064050450869408,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002274____立板,4321230287534268382,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004000425-1__板_2287,-4536862745837373787,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002291____环,7204658504167445821,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002381____右弯板,6801299546047921267,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002384____左弯板,-2014333461476675867,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002412____环,-762716448975322838,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002418____弯板,574662479076211785,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
101004002396____中弯板,4144457653825953608,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
210090120-1__圆管,1481994600962799037,2,2,cad\20220709 凯迈2022WX-33号计划-CAD下料-发.dxf; cad\20221203（5-28+44-84）+1206（13-35+50-80）+1208（全部） 凯迈45+46+47号计划急活-CAD下料发.dxf,Normalized
